Entity,Code,Year,Emissions
World,OWID_WRL,1919,3019921454
World,OWID_WRL,1920,3513394521
World,OWID_WRL,1921,3083122765
World,OWID_WRL,1922,3234231434
World,OWID_WRL,1923,3670605469
World,OWID_WRL,1924,3682986363
World,OWID_WRL,1925,3709803778
World,OWID_WRL,1926,3642199735
World,OWID_WRL,1927,3978373700
World,OWID_WRL,1928,3959653143
World,OWID_WRL,1929,4252189759
World,OWID_WRL,1930,3919398903
World,OWID_WRL,1931,3502982456
World,OWID_WRL,1932,3157845139
World,OWID_WRL,1933,3324971535
World,OWID_WRL,1934,3616315386
World,OWID_WRL,1935,3794456537
World,OWID_WRL,1936,4168554366
World,OWID_WRL,1937,4456654820
World,OWID_WRL,1938,4193545888
World,OWID_WRL,1939,4435792518
World,OWID_WRL,1940,4847084264
World,OWID_WRL,1941,4955476469
World,OWID_WRL,1942,4935659098
World,OWID_WRL,1943,5018864796
World,OWID_WRL,1944,5101039826
World,OWID_WRL,1945,4240828890
World,OWID_WRL,1946,4629673019
World,OWID_WRL,1947,5125894209
World,OWID_WRL,1948,5396503436
World,OWID_WRL,1949,5239276402
World,OWID_WRL,1950,5998350483
World,OWID_WRL,1951,6373784977
World,OWID_WRL,1952,6460163088
World,OWID_WRL,1953,6641784991
World,OWID_WRL,1954,6784943963
World,OWID_WRL,1955,7437038185
World,OWID_WRL,1956,7917910418
World,OWID_WRL,1957,8179339626
World,OWID_WRL,1958,8412113102
World,OWID_WRL,1959,8848508658
World,OWID_WRL,1960,9334894235
World,OWID_WRL,1961,9356003209
World,OWID_WRL,1962,9687509136
World,OWID_WRL,1963,10236030835
World,OWID_WRL,1964,10769609001
World,OWID_WRL,1965,11269289378
World,OWID_WRL,1966,11793837886
World,OWID_WRL,1967,12171496555
World,OWID_WRL,1968,12835995835
World,OWID_WRL,1969,13691842090
World,OWID_WRL,1970,14826862558
World,OWID_WRL,1971,15425831272
World,OWID_WRL,1972,16142605180
World,OWID_WRL,1973,17000713040
World,OWID_WRL,1974,16925871525
World,OWID_WRL,1975,16902972535
World,OWID_WRL,1976,17799760250
World,OWID_WRL,1977,18287936087
World,OWID_WRL,1978,18958831938
World,OWID_WRL,1979,19464238139
World,OWID_WRL,1980,19369451786
World,OWID_WRL,1981,18841366575
World,OWID_WRL,1982,18700964971
World,OWID_WRL,1983,18876274558
World,OWID_WRL,1984,19426234052
World,OWID_WRL,1985,20116824222
World,OWID_WRL,1986,20401694700
World,OWID_WRL,1987,21062703963
World,OWID_WRL,1988,21865970751
World,OWID_WRL,1989,22193361780
World,OWID_WRL,1990,22697611920
World,OWID_WRL,1991,23169529331
World,OWID_WRL,1992,22444951326
World,OWID_WRL,1993,22682603213
World,OWID_WRL,1994,22843787723
World,OWID_WRL,1995,23332159074
World,OWID_WRL,1996,24050843644
World,OWID_WRL,1997,24191148150
World,OWID_WRL,1998,24112118810
World,OWID_WRL,1999,24431050755
World,OWID_WRL,2000,25119042307
World,OWID_WRL,2001,25332202521
World,OWID_WRL,2002,25911186282
World,OWID_WRL,2003,27176183983
World,OWID_WRL,2004,28470451252
World,OWID_WRL,2005,29410889337
World,OWID_WRL,2006,30374553990
World,OWID_WRL,2007,31293862304
World,OWID_WRL,2008,31946033899
World,OWID_WRL,2009,31464200426
World,OWID_WRL,2010,33131911067
World,OWID_WRL,2011,34209582571
World,OWID_WRL,2012,34760008139
World,OWID_WRL,2013,34987263545
World,OWID_WRL,2014,35244868107
World,OWID_WRL,2015,35209446562
World,OWID_WRL,2016,35220412420
World,OWID_WRL,2017,35696348890
World,OWID_WRL,2018,36419711706
World,OWID_WRL,2019,36441387575
