Entity,Code,Year,Emissions,Ranking
Rwanda,RWA,1950,16854e,
China,CHN,2019,10174681103,1
China,CHN,2018,9956568523,1
China,CHN,2014,9820360215,1
China,CHN,2013,9796526887,1
China,CHN,2017,9750725978,1
China,CHN,2015,9683200711,1
China,CHN,2012,9633899303,1
China,CHN,2016,9552516545,1
China,CHN,2011,9388199234,1
China,CHN,2010,8500542695,
China,CHN,2009,7758811768,
China,CHN,2008,7375189907,
China,CHN,2007,6861750652,
China,CHN,2006,6377748016,
United States of America,USA,2005,6131892976,
United States of America,USA,2007,6128429640,
United States of America,USA,2004,6107618246,
United States of America,USA,2006,6051051022,
United States of America,USA,2000,5998070434,
United States of America,USA,2003,5991959633,
United States of America,USA,2002,5942652335,
United States of America,USA,2008,5930539643,
United States of America,USA,2001,5900436596,
United States of America,USA,1999,5830297636,
China,CHN,2005,5771168440,
United States of America,USA,1998,5751051980,
United States of America,USA,1997,5703706968,
United States of America,USA,2010,5698055779,
United States of America,USA,1996,5626911901,
United States of America,USA,2011,5565294401,2
United States of America,USA,2014,5561719216,2
United States of America,USA,2013,5514029294,2
United States of America,USA,2009,5491035727,
United States of America,USA,1995,5438905704,
United States of America,USA,2018,5424881502,2
United States of America,USA,2015,5412432194,2
United States of America,USA,1994,5377032708,
United States of America,USA,2012,5367568555,2
United States of America,USA,2016,5292267561,2
United States of America,USA,2019,5284696657,2
United States of America,USA,1993,5283437595,
United States of America,USA,2017,5253606130,2
United States of America,USA,1992,5182706720,
United States of America,USA,1990,5128300617,
China,CHN,2004,5125894416,
United States of America,USA,1991,5078889576,
United States of America,USA,1989,4948021163,
United States of America,USA,1979,4894042875,
United States of America,USA,1988,4885590503,
United States of America,USA,1978,4882964014,
United States of America,USA,1973,4762452212,
United States of America,USA,1977,4735366318,
United States of America,USA,1980,4716716355,
United States of America,USA,1987,4680834052,
United States of America,USA,1976,4607168187,
United States of America,USA,1974,4592958261,
United States of America,USA,1972,4558452642,
United States of America,USA,1981,4530369843,
United States of America,USA,1986,4487855869,
United States of America,USA,1985,4484338182,
United States of America,USA,1984,4468262054,
China,CHN,2003,4452310296,
United States of America,USA,1975,4400795008,
United States of America,USA,1971,4351308688,
United States of America,USA,1983,4335916563,
United States of America,USA,1970,4325500825,
United States of America,USA,1982,4301970691,
United States of America,USA,1969,4021502617,
United States of America,USA,1968,3828306054,
China,CHN,2002,3782439297,
United States of America,USA,1967,3693298171,
United States of America,USA,1966,3559179160,
China,CHN,2001,3426143795,
China,CHN,1997,3414549286,
China,CHN,1996,3408346591,
United States of America,USA,1965,3388192678,
China,CHN,2000,3349295022,
China,CHN,1998,3265902621,
China,CHN,1995,3265056964,
China,CHN,1999,3258135129,
United States of America,USA,1964,3252755162,
United States of America,USA,1963,3116022372,
China,CHN,1994,3010242401,
United States of America,USA,1962,2984001744,
